id,PRO_COM,Longitude,Latitude,vs30,BuildingClass,DamageState
410,66087,13.558363557568269,42.28874755678361,467.61734,A-L,2
411,66087,13.559292242154028,42.28808192759956,473.64297,A-L,5
412,66097,13.680819089603162,42.15179789496121,540.08685,B-L,1
413,66087,13.560252799999992,42.29122318842846,391.2681,A-MH,2
414,66097,13.683841641213572,42.15385743569083,450.74402,A-MH,4
415,66065,13.51502035375999,42.12174014928792,609.5211,A-L,5
416,67034,13.552425,42.52304798863029,471.2248,A-MH,0
417,66087,13.556636400000002,42.288420788426016,446.9307,A-L,1
418,66087,13.55318775062545,42.28920134149904,431.8219,A-MH,0
419,66040,13.777766248419418,42.22153896995679,513.4069,A-L,1
420,66049,13.457673399999996,42.39490188851894,451.61,B-L,0
421,66097,13.680479619729883,42.15217200595639,528.779,B-L,1
422,66065,13.514905171318118,42.12183459326937,609.5211,A-L,5
423,66058,13.70711370755715,42.24613588252219,501.66736,A-MH,1
424,66087,13.5602484,42.29122198842852,391.2681,A-MH,4
425,66043,13.607321500000005,42.22891798837392,537.145,A-MH,2
426,66008,13.260885000000004,42.43338198855244,496.7469,A-L,1
427,66087,13.550592499999995,42.29129038842853,426.28647,A-L,4
428,66087,13.556534999999998,42.28846198842608,446.9307,A-L,4
429,66087,13.553555274838551,42.2892787883927,431.8219,A-L,1
430,66014,13.698689864998602,42.32582838848361,504.67365,A-MH,3
