id,col,row,Longitude,Latitude,vs30
10034,190,46,14.115709359269546,42.66579215159133,-1.0
10035,191,46,14.12179584427015,42.66583897712572,-1.0
10036,192,46,14.127882343753503,42.66588547931712,-1.0
10037,193,46,14.133968857619278,42.66593165816322,-1.0
10038,194,46,14.140055385767182,42.665977513662,-1.0
10039,195,46,14.146141928096894,42.6660230458113,-1.0
10040,196,46,14.152228484508084,42.66606825460906,-1.0
10041,197,46,14.158315054900427,42.666113140053135,-1.0
10042,198,46,14.164401639173628,42.66615770214162,-1.0
10043,199,46,14.17048823722734,42.66620194087231,-1.0
10044,200,46,14.176574848961256,42.66624585624327,-1.0
10045,201,46,14.182661474275037,42.66628944825241,-1.0
10046,202,46,14.188748113068357,42.66633271689782,-1.0
10047,203,46,14.1948347652409,42.66637566217745,-1.0
10048,204,46,14.200921430692317,42.66641828408927,-1.0
10049,205,46,14.2070081093223,42.66646058263147,-1.0
10050,206,46,14.213094801030495,42.66650255780202,-1.0
10051,207,46,14.219181505716575,42.66654420959901,-1.0
10052,208,46,14.225268223280205,42.6665855380205,-1.0
10053,209,46,14.231354953621056,42.66662654306463,-1.0
10054,210,46,14.23744169663878,42.66666722472952,-1.0
10055,211,46,14.243528452233049,42.66670758301327,-1.0
10056,212,46,14.249615220303506,42.666747617914055,-1.0
10057,213,46,14.255702000749816,42.66678732943,-1.0
10058,0,47,12.959803568519805,42.64652986450527,462.4435
10059,1,47,12.965885045933575,42.64663805233875,464.23383
10060,2,47,12.971966556841444,42.646745917554085,475.3015
10061,3,47,12.978048101143589,42.64685346014609,454.80847
10062,4,47,12.984129678740208,42.64696068010991,556.24896
10063,5,47,12.99021128953146,42.6470675774408,569.7458
10064,6,47,12.996292933417545,42.64717415213367,542.56824
10065,7,47,13.002374610298627,42.64728040418372,535.8549
10066,8,47,13.00845632007486,42.647386333586056,454.50003
10067,9,47,13.014538062646425,42.64749194033582,552.62744
10068,10,47,13.02061983791348,42.64759722442816,523.0533
10069,11,47,13.026701645776193,42.647702185858286,525.6203
10070,12,47,13.0327834861347,42.64780682462138,533.2925
