mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.014,0.022,5134.0,2007.0,1.0
0.013,0.024,6125.0,1826.0,1.01
0.014,0.014,4300.0,2217.0,1.0
0.014,0.02,5462.0,2206.0,1.0
0.013,0.021,6034.0,2110.0,1.0
0.013,0.015,4617.0,2334.0,1.0
0.014,0.019,4909.0,2238.0,1.0
0.013,0.019,5771.0,2344.0,1.0
0.013,0.017,5431.0,2290.0,1.0
0.015,0.019,4667.0,2279.0,1.0
0.011,0.012,4563.0,2525.0,1.0
0.015,0.015,3568.0,2362.0,1.0
0.014,0.021,5226.0,2059.0,1.0
0.015,0.02,4114.0,1938.0,1.0
0.015,0.019,4369.0,2307.0,1.0
0.013,0.013,3757.0,2370.0,1.0
0.014,0.018,4787.0,2277.0,1.0
0.013,0.022,5794.0,2008.0,1.0
0.015,0.02,4407.0,2169.0,1.0
0.014,0.016,4040.0,2224.0,1.0
0.014,0.017,4325.0,2293.0,1.0
0.015,0.017,4090.0,2036.0,1.0
0.013,0.017,5058.0,2275.0,1.0
0.014,0.02,4706.0,2053.0,1.0
0.014,0.02,4236.0,2175.0,1.0
0.012,0.011,2764.0,2316.0,1.0
0.013,0.012,3430.0,2562.0,1.0
0.014,0.02,5400.0,2224.0,1.0
0.014,0.02,4691.0,2081.0,1.0
0.013,0.016,4328.0,2185.0,1.0
0.015,0.021,4642.0,2277.0,1.0
0.014,0.021,5508.0,2198.0,1.0
0.014,0.02,5085.0,2041.0,1.0
0.013,0.02,5239.0,2286.0,1.0
0.013,0.019,5493.0,2205.0,1.01
0.013,0.019,5563.0,2199.0,1.0
0.013,0.02,5402.0,2079.0,1.0
0.016,0.016,3610.0,2288.0,1.0
0.014,0.023,5123.0,1936.0,1.0
0.014,0.021,4833.0,1880.0,1.0
0.012,0.011,3675.0,2425.0,1.0
0.012,0.01,3238.0,1973.0,1.0
0.011,0.01,3589.0,2343.0,1.0
0.013,0.012,3296.0,2349.0,1.0
0.016,0.018,3709.0,2278.0,1.0
0.014,0.021,5543.0,1898.0,1.0
0.012,0.018,5752.0,2293.0,1.0
0.015,0.02,4264.0,2322.0,1.0
0.014,0.014,4764.0,2261.0,1.0
0.014,0.019,4870.0,2112.0,1.0
0.013,0.016,4430.0,2460.0,1.0
0.013,0.019,5305.0,2339.0,1.0
0.014,0.018,4297.0,2205.0,1.0
0.013,0.019,5228.0,1935.0,1.0
0.013,0.021,5832.0,2391.0,1.0
0.014,0.019,5250.0,2344.0,1.0
0.013,0.013,3462.0,2482.0,1.0
0.015,0.021,4527.0,1960.0,1.0
0.013,0.012,3391.0,2464.0,1.0
0.013,0.021,5807.0,2165.0,1.0
0.013,0.014,4760.0,2380.0,1.0
0.013,0.013,3713.0,2356.0,1.0
0.013,0.012,3284.0,2623.0,1.0
0.012,0.013,3939.0,2475.0,1.0
0.013,0.018,5124.0,2278.0,1.0
0.011,0.009,2904.0,2403.0,1.0
0.013,0.014,4114.0,2482.0,1.0
0.014,0.019,5056.0,2187.0,1.0
0.014,0.019,5228.0,2276.0,1.0
0.015,0.018,4763.0,2562.0,1.01
0.014,0.021,5343.0,1917.0,1.0
0.013,0.021,5794.0,1846.0,1.0
0.015,0.02,4817.0,2112.0,1.0
0.016,0.022,4375.0,1836.0,1.0
0.015,0.018,4285.0,2266.0,1.0
0.014,0.021,5148.0,2132.0,1.0
0.013,0.018,5098.0,2052.0,1.0
0.013,0.019,5129.0,2170.0,1.0
0.013,0.024,5949.0,1490.0,1.0
0.013,0.016,4379.0,2278.0,1.0
0.012,0.019,6258.0,2139.0,1.0
0.013,0.017,4862.0,2353.0,1.0
0.013,0.021,5822.0,1973.0,1.0
0.014,0.022,5449.0,2018.0,1.0
0.012,0.017,5109.0,2516.0,1.0
0.012,0.02,7039.0,1852.0,1.0
0.014,0.015,3820.0,2256.0,1.0
0.014,0.018,4564.0,2115.0,1.0
0.015,0.019,4754.0,2363.0,1.0
0.013,0.021,5357.0,1901.0,1.0
0.014,0.019,5055.0,2362.0,1.0
0.014,0.017,4084.0,2298.0,1.0
0.012,0.013,3900.0,2354.0,1.0
0.014,0.019,5204.0,2418.0,1.0
0.014,0.019,5286.0,2251.0,1.0
0.013,0.012,4826.0,2106.0,1.0
0.013,0.02,5995.0,2318.0,1.0
0.014,0.02,4997.0,2062.0,1.0
0.015,0.02,4515.0,2319.0,1.0
0.013,0.017,5246.0,2381.0,1.0
0.015,0.016,3746.0,2142.0,1.0
0.014,0.023,5482.0,1955.0,1.0
0.013,0.012,3786.0,2330.0,1.0
0.014,0.018,4501.0,2153.0,1.0
0.014,0.019,4750.0,2176.0,1.0
0.015,0.02,4708.0,1999.0,1.0
0.015,0.018,4397.0,1968.0,1.0
0.014,0.017,4542.0,2406.0,1.0
0.013,0.021,6382.0,2206.0,1.0
0.012,0.014,4179.0,2238.0,1.0
0.013,0.02,5526.0,1955.0,1.0
0.014,0.019,4625.0,2107.0,1.0
0.013,0.016,4425.0,2390.0,1.0
0.013,0.016,3995.0,1948.0,1.0
0.014,0.019,4844.0,2131.0,1.01
0.013,0.016,4458.0,2245.0,1.0
0.014,0.022,5255.0,2199.0,1.0
0.015,0.021,4798.0,2460.0,1.0
0.014,0.02,4960.0,1799.0,1.0
0.014,0.019,5141.0,2081.0,1.0
0.014,0.019,4715.0,2257.0,1.0
0.014,0.018,4851.0,2212.0,1.0
0.012,0.016,4958.0,2193.0,1.0
0.013,0.02,5893.0,2220.0,1.0
0.013,0.018,5901.0,2282.0,1.0
0.013,0.012,3780.0,2354.0,1.0
0.013,0.022,5959.0,1947.0,1.0
0.012,0.02,6458.0,2010.0,1.0
0.013,0.02,5131.0,2006.0,1.0
0.014,0.02,4607.0,2294.0,1.0
0.013,0.021,5639.0,2047.0,1.0
0.014,0.02,5170.0,2051.0,1.0
0.012,0.016,5420.0,2402.0,1.0
0.013,0.019,5244.0,2295.0,1.0
