mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.007,0.006,5446.0,2379.0,1.0
0.011,0.02,8091.0,2102.0,1.0
0.012,0.024,7234.0,1925.0,1.0
0.012,0.021,7382.0,2230.0,1.0
0.011,0.02,7918.0,2325.0,1.0
0.005,0.004,3962.0,2148.0,1.0
0.011,0.022,8285.0,1798.0,1.0
0.01,0.022,8902.0,2074.0,1.0
0.012,0.02,7250.0,2134.0,1.0
0.011,0.022,7949.0,2164.0,1.01
0.013,0.025,6672.0,1541.0,1.0
0.014,0.016,4738.0,2665.0,1.0
0.01,0.02,6952.0,2026.0,1.01
0.01,0.024,9432.0,1804.0,1.01
0.011,0.02,7571.0,2123.0,1.0
0.01,0.012,5494.0,2352.0,1.0
0.011,0.02,7075.0,2328.0,1.0
0.011,0.02,7582.0,2319.0,1.0
0.011,0.018,7580.0,2427.0,1.0
0.011,0.01,6114.0,2176.0,1.0
0.011,0.022,8698.0,2320.0,1.0
0.01,0.008,4585.0,2169.0,1.0
0.01,0.011,3958.0,2408.0,1.0
0.011,0.023,8525.0,2036.0,1.01
0.011,0.018,6633.0,2490.0,1.0
0.009,0.009,6128.0,2455.0,1.0
0.011,0.022,8470.0,2019.0,1.0
0.011,0.019,7160.0,2083.0,1.0
0.011,0.026,7557.0,1661.0,1.01
0.011,0.017,6435.0,2454.0,1.01
0.011,0.019,7375.0,2264.0,1.0
0.009,0.007,6251.0,2458.0,1.0
0.01,0.017,7456.0,2182.0,1.0
0.011,0.022,7965.0,2000.0,1.0
0.009,0.008,4268.0,2350.0,1.0
0.012,0.022,7584.0,2205.0,1.0
0.012,0.02,6586.0,2181.0,1.0
0.01,0.015,6651.0,2275.0,1.0
0.011,0.012,7453.0,2052.0,1.0
0.011,0.025,7820.0,1641.0,1.0
0.006,0.006,4246.0,2052.0,1.0
0.009,0.013,8186.0,2496.0,1.0
0.011,0.024,7991.0,1854.0,1.0
0.012,0.023,7053.0,1487.0,1.0
0.011,0.024,8200.0,1979.0,1.0
0.011,0.022,9186.0,2020.0,1.0
0.012,0.021,6262.0,2027.0,1.0
0.011,0.019,6824.0,2158.0,1.0
0.01,0.012,6282.0,2526.0,1.0
0.011,0.023,8519.0,1976.0,1.0
0.009,0.011,5130.0,2260.0,1.0
0.012,0.024,7699.0,1798.0,1.0
0.01,0.017,7524.0,2236.0,1.0
0.01,0.018,8254.0,2171.0,1.0
0.01,0.02,8975.0,2181.0,1.0
0.009,0.013,5897.0,2485.0,1.0
0.011,0.027,8788.0,1899.0,1.01
0.013,0.024,6214.0,1589.0,1.0
0.012,0.021,7133.0,1955.0,1.0
0.011,0.022,8239.0,2017.0,1.0
0.013,0.024,6000.0,1798.0,1.0
0.011,0.017,6674.0,2228.0,1.01
0.012,0.023,7815.0,1952.0,1.0
0.011,0.022,7697.0,2093.0,1.0
0.011,0.021,7562.0,2257.0,1.0
0.009,0.012,7085.0,2085.0,1.0
0.011,0.014,6520.0,2204.0,1.0
0.011,0.017,7064.0,2052.0,1.0
0.011,0.022,8717.0,2085.0,1.0
0.012,0.018,6822.0,2065.0,1.0
0.005,0.006,5529.0,2292.0,1.0
0.011,0.024,8046.0,2036.0,1.0
0.011,0.023,8343.0,1890.0,1.0
0.01,0.014,7974.0,2779.0,1.0
0.011,0.022,8392.0,2189.0,1.0
0.011,0.019,8496.0,2231.0,1.0
0.011,0.022,8445.0,1913.0,1.0
0.011,0.016,7320.0,2487.0,1.0
0.012,0.023,7272.0,2054.0,1.0
0.011,0.022,8492.0,2227.0,1.0
0.013,0.021,6072.0,2104.0,1.0
0.011,0.02,7572.0,2361.0,1.0
0.012,0.019,6433.0,2073.0,1.0
0.012,0.021,7317.0,2345.0,1.0
0.011,0.011,7214.0,2030.0,1.0
0.012,0.02,6757.0,2160.0,1.0
0.012,0.016,6106.0,2461.0,1.0
0.012,0.022,6911.0,2065.0,1.0
0.011,0.021,7257.0,2143.0,1.0
0.012,0.018,7480.0,1819.0,1.0
0.008,0.011,6068.0,2078.0,1.0
0.011,0.019,7721.0,2063.0,1.0
0.01,0.02,9241.0,2276.0,1.0
0.011,0.013,7088.0,2074.0,1.0
0.01,0.015,6185.0,2035.0,1.0
0.009,0.015,6137.0,2030.0,1.0
0.012,0.024,7505.0,1936.0,1.0
0.012,0.023,6665.0,1959.0,1.0
0.012,0.023,7151.0,1959.0,1.0
0.01,0.021,8966.0,2010.0,1.0
0.007,0.006,4287.0,2289.0,1.0
0.011,0.019,7485.0,2367.0,1.0
0.013,0.022,6317.0,2190.0,1.0
0.01,0.014,6375.0,2219.0,1.0
0.011,0.024,7224.0,1847.0,1.0
0.012,0.019,6743.0,2323.0,1.0
0.01,0.016,7127.0,2435.0,1.01
0.012,0.022,6980.0,1955.0,1.0
0.011,0.018,7895.0,2403.0,1.0
0.006,0.006,4431.0,2635.0,1.0
0.012,0.019,7131.0,2105.0,1.0
0.01,0.016,9603.0,2357.0,1.0
0.012,0.023,7795.0,2137.0,1.0
0.013,0.023,5997.0,1557.0,1.0
0.011,0.02,6734.0,2466.0,1.0
0.012,0.023,7276.0,1813.0,1.0
0.01,0.018,9198.0,2036.0,1.0
0.011,0.022,8187.0,1998.0,1.0
0.009,0.01,6968.0,2572.0,1.0
0.01,0.022,9343.0,2381.0,1.0
0.012,0.018,6384.0,1870.0,1.0
0.011,0.016,6606.0,2168.0,1.0
0.011,0.022,8045.0,2003.0,1.0
0.012,0.019,6246.0,1898.0,1.0
0.009,0.011,5604.0,2295.0,1.0
0.012,0.014,4277.0,2198.0,1.0
0.01,0.019,8878.0,2225.0,1.0
0.011,0.021,7624.0,1767.0,1.0
0.01,0.021,10431.0,2310.0,1.0
0.011,0.02,7440.0,2310.0,1.0
0.012,0.024,7051.0,1965.0,1.0
0.009,0.008,6275.0,2459.0,1.0
0.011,0.02,7926.0,2096.0,1.0
0.01,0.024,9452.0,2039.0,1.0
0.012,0.019,6111.0,1869.0,1.0
0.012,0.023,6945.0,1964.0,1.0
0.01,0.023,9590.0,1982.0,1.0
0.01,0.014,7933.0,2249.0,1.0
0.012,0.022,6353.0,1939.0,1.0
0.011,0.023,8661.0,1919.0,1.01
0.01,0.014,7765.0,2251.0,1.0
0.012,0.02,6697.0,2199.0,1.0
0.011,0.022,8852.0,2198.0,1.0
0.011,0.021,7177.0,2189.0,1.0
0.011,0.023,8307.0,2028.0,1.0
0.009,0.011,6571.0,2390.0,1.0
0.013,0.021,5727.0,2177.0,1.01
0.011,0.024,8872.0,2008.0,1.0
0.012,0.026,7177.0,1504.0,1.0
0.013,0.022,6028.0,1931.0,1.0
0.012,0.017,5307.0,2331.0,1.0
0.011,0.02,7684.0,2150.0,1.0
0.011,0.022,7955.0,1851.0,1.0
0.012,0.027,7157.0,1313.0,1.0
0.011,0.02,6925.0,2138.0,1.0
0.012,0.02,7276.0,2095.0,1.0
0.011,0.02,8156.0,1973.0,1.0
0.011,0.019,7875.0,2429.0,1.0
0.011,0.024,7529.0,2046.0,1.0
