mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.012,0.019,6720.0,2148.0,1.0
0.012,0.02,5589.0,1894.0,1.0
0.012,0.011,3957.0,2306.0,1.0
0.013,0.021,6090.0,2010.0,1.0
0.01,0.011,3950.0,2228.0,1.0
0.013,0.022,6058.0,1822.0,1.0
0.014,0.017,4505.0,2462.0,1.0
0.012,0.017,5626.0,2086.0,1.0
0.013,0.02,5288.0,2303.0,1.0
0.011,0.011,4414.0,2478.0,1.0
0.014,0.023,5694.0,2085.0,1.01
0.014,0.026,5894.0,1771.0,1.0
0.014,0.02,4771.0,2066.0,1.0
0.013,0.021,6001.0,2155.0,1.0
0.013,0.024,5869.0,1575.0,1.0
0.012,0.015,5162.0,2504.0,1.0
0.013,0.022,6158.0,2118.0,1.0
0.012,0.021,6455.0,1870.0,1.0
0.014,0.019,4465.0,2069.0,1.0
0.012,0.014,4603.0,2135.0,1.0
0.012,0.015,5228.0,2370.0,1.0
0.012,0.017,5465.0,2401.0,1.0
0.015,0.019,4562.0,2199.0,1.0
0.012,0.018,6836.0,2146.0,1.0
0.006,0.007,3627.0,2113.0,1.0
0.014,0.02,5316.0,2091.0,1.0
0.013,0.021,6265.0,2273.0,1.0
0.013,0.015,5274.0,2589.0,1.0
0.014,0.021,5407.0,2225.0,1.0
0.013,0.021,6412.0,1930.0,1.01
0.015,0.022,4449.0,1802.0,1.0
0.013,0.015,5271.0,2136.0,1.0
0.015,0.022,4361.0,1962.0,1.0
0.013,0.02,5997.0,2303.0,1.0
0.013,0.021,5606.0,2170.0,1.0
0.012,0.02,6769.0,1927.0,1.0
0.013,0.019,5599.0,2342.0,1.0
0.014,0.024,5586.0,1766.0,1.0
0.013,0.012,4715.0,2096.0,1.0
0.015,0.02,4454.0,2241.0,1.0
0.014,0.017,4485.0,2270.0,1.0
0.014,0.021,5142.0,2051.0,1.0
0.013,0.02,5589.0,1806.0,1.0
0.014,0.017,5221.0,2031.0,1.0
0.01,0.01,4050.0,2466.0,1.0
0.013,0.022,5743.0,1720.0,1.0
0.012,0.019,6895.0,2515.0,1.0
0.012,0.015,5156.0,2109.0,1.0
0.011,0.014,4696.0,2311.0,1.0
0.012,0.015,3652.0,1902.0,1.0
0.014,0.02,5477.0,2262.0,1.0
0.014,0.017,4885.0,2571.0,1.0
0.014,0.021,5467.0,2115.0,1.0
0.013,0.02,5614.0,2134.0,1.0
0.008,0.007,2949.0,2031.0,1.0
0.014,0.019,4938.0,2192.0,1.0
0.013,0.022,6204.0,1733.0,1.0
0.012,0.014,4519.0,2129.0,1.0
0.011,0.024,7145.0,1865.0,1.0
0.014,0.022,4953.0,2033.0,1.0
0.012,0.016,5321.0,2322.0,1.0
0.013,0.023,5615.0,2056.0,1.0
