network_code,station_code,Longitude,Latitude,vs30,epiazimuth,mu_logIM,tau_logIM,phi_logIM,obs_logIM
IT,PDM,14.385376,41.355354,655.0,3.38862766487955,-4.219546414181787,0.5019635502727019,0.6677496769682731,-6.048980166668382
IT,PIC,11.684975,42.850376,522.55,152.7621296490089,-4.492251277416488,0.5019635502727019,0.6677496769682731,-6.2474630701500855
IT,PTF,14.7024,41.6963,579.98,343.14753981688057,-4.0996547225985545,0.5019635502727019,0.6677496769682731,-3.98043293015124
IT,RIC,14.83767,41.482738,614.52,348.2819215532363,-4.426955099441559,0.5019635502727019,0.6677496769682731,-5.544669716935766
IT,SBC,13.105518,41.913158,1298.0,70.63591703262614,-3.1885260990319306,0.5019635502727019,0.6677496769682731,-4.137788887497131
IT,SCM,14.983749,41.710827,464.64,337.4313810368392,-4.367915868086385,0.5019635502727019,0.6677496769682731,-4.907042346916472
IT,SCP,15.164646,41.807213,572.29,331.2476960830966,-4.485774204464928,0.5019635502727019,0.6677496769682731,-4.578788615503903
IT,SDG,15.5589,41.8426,800.0,326.18221838418657,-5.308689106506004,0.5019635502727019,0.6677496769682731,-5.9015916589983455
IT,SEP,14.880167,41.625019,500.0,342.454997254748,-4.336075960365062,0.5019635502727019,0.6677496769682731,-5.185262412358877
IT,SNM,12.44929,43.934326,760.0,196.23377211622073,-4.989657315320112,0.5019635502727019,0.6677496769682731,-6.156571468316014
IT,SNS,12.143375,43.56739,310.0,183.15843491526414,-4.640224415628289,0.5019635502727019,0.6677496769682731,-5.162599990612988
IT,SPC,12.739693,42.743469,524.94,169.54824560120227,-3.158164907934844,0.5019635502727019,0.6677496769682731,-4.16273508119284
IT,SPO,12.740602,42.733585,883.5,168.91396402776803,-3.603104624506147,0.5019635502727019,0.6677496769682731,-3.9840591470245217
IT,SSR,15.37362,41.691341,431.87,332.9666484069148,-4.746600810435322,0.5019635502727019,0.6677496769682731,-4.781350483388821
IT,STL,15.642169,40.541065,395.0,356.30224703038704,-5.754864741553078,0.5019635502727019,0.6677496769682731,-6.93805480138856
IT,STN,15.11167,41.018353,597.86,355.5263826804559,-5.054930705883743,0.5019635502727019,0.6677496769682731,-6.348326633054777
IT,SUL,13.934,42.089,604.298828125,342.1069151843079,-2.477838628757946,0.5019635502727019,0.6677496769682731,-2.680787954022997
IT,TLS,14.529974,41.222237,401.0,2.967534560945637,-4.47830334051937,0.5019635502727019,0.6677496769682731,-5.735757377351115
IT,TMO,14.975007,41.989445,439.63,325.72397167557926,-4.193494754211546,0.5019635502727019,0.6677496769682731,-3.899972774500289
IT,VIE,16.165255,41.876976,760.0,321.44562463910205,-5.3611953844237155,0.5019635502727019,0.6677496769682731,-5.207594435995755
IT,VRP,14.131685,41.33321,340.0,11.97657441930619,-3.9805495008239014,0.5019635502727019,0.6677496769682731,-5.38144547545174
IV,CDCA,12.2336,43.4584,277.0,182.5715264467176,-4.4687277744325575,0.5019635502727019,0.6677496769682731,-4.271745234582258
IV,GUMA,13.3352,43.0627,488.0,214.40073956903615,-3.3476159086859414,0.5019635502727019,0.6677496769682731,-2.8417037852160285
IV,SENI,13.2331,43.7052,242.0,213.95419698038017,-4.392699814122922,0.5019635502727019,0.6677496769682731,-2.87050407332688
MN,AQU,13.40193,42.35388,455.8628234863281,182.34290567057843,-0.5650726957669658,0.5019635502727019,0.6677496769682731,-0.9093927812734968
SL,BOJS,15.2518,45.5043,760.0,241.69196570241604,-6.733770453349847,0.5019635502727019,0.6677496769682731,-6.226881197574602
SL,LJU,14.5278,46.0438,760.0,231.4663233185404,-7.044661968238739,0.5019635502727019,0.6677496769682731,-5.639930417226786
