x,y,rec_logPGA,mean_logPGA_1,q05_logPGA_1,q95_logPGA_1,mean_logPGA_2,q05_logPGA_2,q95_logPGA_2
-12.705410821643287,0,-1.919325374696653,-2.219185563803832,-3.1356036139000194,-1.3027675137076447,-2.004747022862615,-2.4670455571336105,-1.5422556679778525
-12.625250501002004,0,-1.8688269061463645,-2.206312955322954,-3.1308844296458127,-1.2817414810000956,-2.00307656557851,-2.484489900333651,-1.540183933518875
-12.545090180360722,0,-2.0406839682508147,-2.1935533398479894,-3.1259228368396905,-1.2611838428562883,-1.9875310251670748,-2.4570874278977377,-1.518671700076046
-12.46492985971944,0,-1.85968846347232,-2.180904000445704,-3.1207355998593456,-1.2410724010320622,-1.95964629330658,-2.435192586487948,-1.4891700154312266
-12.384769539078157,0,-1.8732453134836344,-2.1683622827588094,-3.1153381424453634,-1.2213864230722553,-1.9197269525195306,-2.38917293483975,-1.4517605236926852
-12.304609218436871,0,-1.8682152958885807,-2.155925593930341,-3.109744680386382,-1.2021065074743005,-1.8608194518747159,-2.311043519824338,-1.3956577917885191
-12.224448897795591,0,-1.7658780997584331,-2.1435914015581976,-3.103968337944166,-1.1832144651722294,-1.7903559331348275,-2.2596173309104097,-1.3243110019790356
-12.14428857715431,0,-1.9301077055074376,-2.1313572326794072,-3.0980212504236717,-1.1646932149351428,-1.7023148673662487,-2.1683126823636676,-1.2236294502560945
-12.064128256513026,0,-1.9748118146620324,-2.119220672783706,-3.0919146548802106,-1.1465266906872016,-1.6389852075778968,-2.097677529512566,-1.1649053281743864
-11.983967935871744,0,-1.719149883681142,-2.1071793648560213,-3.085658970622979,-1.1286997590890637,-1.5953000815250244,-2.0528776995563827,-1.1386484065717546
-11.90380761523046,0,-1.503880871712793,-2.0952310084474677,-3.0792638709042666,-1.1111981459906688,-1.570059709571066,-2.0239192750461203,-1.1083115175902976
-11.82364729458918,0,-1.4136631820384695,-2.0833733587744865,-3.0727383469634035,-1.0940083705855694,-1.5573006105628957,-2.001821869596049,-1.1007807907008036
-11.743486973947896,0,-1.3952503617047098,-2.071604225845743,-3.066090765413816,-1.0771176862776706,-1.5603769680429056,-2.015371117282218,-1.0963270373012435
-11.663326653306614,0,-1.3270143180701592,-2.0599214736164506,-3.059328919812562,-1.0605140274203393,-1.543767545840095,-2.0030846764710017,-1.0798697940583462
-11.58316633266533,0,-1.418796646786119,-2.0483230191697483,-3.0524600771281687,-1.0441859612113282,-1.4990222463428862,-1.9561779423126566,-1.0495227468411936
-11.503006012024048,0,-1.252584450300894,-2.0368068319248316,-3.045491019719747,-1.0281226441299165,-1.4302440474715337,-1.897873897350774,-0.9736878297287388
-11.422845691382769,0,-1.2286727006915683,-2.0253709328714855,-3.03842808335427,-1.012313782388701,-1.4142624412691487,-1.8713346769765105,-0.9609260602731238
-11.342685370741483,0,-1.2184403651140032,-2.0140133938307287,-3.0312771917166126,-0.9967495959448451,-1.4513878990463736,-1.9039889391065141,-0.9829897135367286
-11.2625250501002,0,-1.2720662779615457,-2.00273233674125,-3.02404388780589,-0.9814207856766097,-1.4634526375706474,-1.918763110003754,-1.0052688810783796
-11.182364729458918,0,-1.2194917966008476,-1.991525932971367,-3.016733362560026,-0.9663185033827082,-1.4864914544338967,-1.9452534601940834,-1.0190492723579934
-11.102204408817636,0,-1.375646551799245,-1.9803924026561972,-3.0093504810064404,-0.951434324305954,-1.4846927841760589,-1.9494807575007027,-1.0334754470267737
-11.022044088176353,0,-1.3433936893123082,-1.9693300140597911,-3.0018998061993494,-0.9367602219202329,-1.495358179433927,-1.9556545639290384,-1.0330732797163915
-10.94188376753507,0,-1.4541533780955325,-1.9583370829619473,-2.9943856211719933,-0.9222885447519016,-1.4832824516583012,-1.9381811185060203,-1.035895533486895
-10.861723446893787,0,-1.5662441025684677,-1.947411972069459,-2.986811949104564,-0.9080119950343535,-1.4851151718848163,-1.9447991758319045,-1.0256679467511216
-10.781563126252506,0,-1.4229430203419908,-1.9365530904515373,-2.9791825718848237,-0.8939236090182507,-1.5021397816318305,-1.9568289671235355,-1.0443623502390882
-10.701402805611222,0,-1.7407786708693005,-1.9257588929991725,-2.971501047217844,-0.8800167387805009,-1.4959550099825518,-1.9421439663157156,-1.0604587301352555
-10.62124248496994,0,-1.5564683689195802,-1.9150278799081926,-2.963770724423509,-0.8662850353928762,-1.503797394187124,-1.9780055423267027,-1.0802328046571648
-10.54108216432866,0,-1.5996830735319298,-1.9043585961857878,-2.955994759044901,-0.8527224333266743,-1.5257176270429973,-1.9845105506915688,-1.103946481780263
-10.460921843687377,0,-1.649258058047314,-1.893749631180283,-2.948176126377213,-0.8393231359833531,-1.5217643253729674,-1.9753093976351583,-1.092844564084755
-10.380761523046091,0,-1.8540812810439908,-1.8831996181339292,-2.940317634015002,-0.8260816022528563,-1.533846188093573,-2.0031426546570237,-1.079063101113965
-10.30060120240481,0,-1.8313234706215415,-1.872707233758498,-2.9324219335052684,-0.8129925340117274,-1.5619210052862398,-2.018706212009317,-1.1257636065011418
-10.220440881763528,0,-1.7328008624826652,-1.8622711978334745,-2.9244915311847546,-0.8000508644821946,-1.6088975645892598,-2.066815623230715,-1.1714612397317923
-10.140280561122244,0,-1.785590983839276,-1.8518902728266262,-2.9165287982718393,-0.7872517473814131,-1.6338677598810782,-2.0864560239330023,-1.1871398880613666
-10.060120240480964,0,-1.785958636038168,-1.8415632635367514,-2.908535980276367,-0.7745905467971359,-1.6399241537577478,-2.0980094863329795,-1.1993942525078414
-9.97995991983968,0,-1.9792835211702533,-1.8312890167583893,-2.9005152057844663,-0.7620628277323123,-1.6626323920196597,-2.1139323931963414,-1.2308563702050657
-9.899799599198396,0,-1.9606788837738651,-1.8210664209682983,-2.8924684946699104,-0.7496643472666862,-1.707413914200119,-2.168719151817999,-1.2649272873228892
-9.819639278557114,0,-1.996993826708632,-1.8108944060334833,-2.884397765778617,-0.7373910462883497,-1.7335878286859683,-2.1927331205540583,-1.2977244000268087
-9.739478957915832,0,-1.8941758894468963,-1.800771942940568,-2.876304844128517,-0.7252390417526189,-1.7809665242089143,-2.245388503832802,-1.321932470827238
-9.65931863727455,0,-1.87963833474172,-1.7906980435463082,-2.8681914676631286,-0.7132046194294879,-1.813222288103397,-2.279279752806422,-1.3468056717639958
-9.579158316633269,0,-1.754132925391818,-1.7806717603490259,-2.860059293593644,-0.7012842271044075,-1.8257772176081881,-2.309012755303797,-1.3554639876261105
-9.498997995991983,0,-1.8323980017471544,-1.770692186280744,-2.851909904361241,-0.6894744682002474,-1.819114395323913,-2.280986685872052,-1.3676108216089211
-9.4188376753507,0,-2.042034924359545,-1.7607584545198098,-2.8437448132485055,-0.6777720957911142,-1.8420831675322225,-2.302014521674079,-1.3879502597145428
-9.33867735470942,0,-1.9711388076573289,-1.7508697383237677,-2.835565469666342,-0.6661740069811932,-1.8906317387164828,-2.3622307864594276,-1.4582218957892197
-9.258517034068136,0,-1.8696312528935684,-1.741025250882239,-2.827373264140452,-0.6546772376240262,-1.9235329837609856,-2.3945509220440413,-1.4831857779321933
-9.178356713426854,0,-1.834215901772654,-1.7312242451895847,-2.8191695330194495,-0.6432789573597197,-1.9432443871406238,-2.397993297008354,-1.494982041582408
-9.098196392785573,0,-2.056329996637777,-1.7214660139370652,-2.8109555629247955,-0.6319764649493351,-1.9500566132627235,-2.402557902733996,-1.48035892268514
-9.01803607214429,0,-2.002618786961011,-1.7117498894242464,-2.8027325949610624,-0.6207671838874302,-1.94177984679959,-2.4151125883818443,-1.4650705110324596
-8.937875751503006,0,-1.9529718208562343,-1.702075243489371,-2.7945018287035532,-0.6096486582751885,-1.919698563363524,-2.40930790887769,-1.4644890865023925
-8.857715430861724,0,-2.139295984679851,-1.6924414874583813,-2.786264425978851,-0.5986185489379117,-1.9318509516894447,-2.4048772014989193,-1.4816060047360322
